,anaphoric-one-semantics,anaphoric-one-syntax,island-adjunct,island-complex-np,island-wh,principle_a_command,principle_a_locality,question-formation_or,question-formation_rr,question-formation_sr,wanna
20,"[(0, 12660.080078125), (1, 11921.193359375)]","[(0, 4730.45556640625), (1, 5497.6435546875)]","[(0, 15744.8935546875), (1, 15912.966796875)]","[(0, 12082.19921875), (1, 11755.8203125)]","[(0, 11825.6484375), (1, 8712.3876953125)]","[(0, 14266.8076171875), (1, 13801.1337890625)]","[(0, 7361.7412109375), (1, 7590.82275390625)]","[(0, 5937.08984375), (1, 6139.68310546875)]","[(0, 5371.28466796875), (1, 4748.02783203125)]","[(0, 13607.1884765625), (1, 8279.91015625)]","[(0, 12958.388671875), (1, 12893.892578125)]"
21,"[(0, 16624.212890625), (1, 16558.265625)]","[(0, 4621.27099609375), (1, 5039.15625)]","[(0, 6905.349609375), (1, 6491.97607421875)]","[(0, 12199.2421875), (1, 12209.357421875)]","[(0, 12058.427734375), (1, 11832.5859375)]","[(0, 9535.2724609375), (1, 10013.2568359375)]","[(0, 7600.978515625), (1, 7446.96435546875)]","[(0, 5606.94140625), (1, 5224.11083984375)]","[(0, 6498.1396484375), (1, 6435.8857421875)]","[(0, 7045.8310546875), (1, 6070.71826171875)]","[(0, 13379.923828125), (1, 17469.2265625)]"
22,"[(0, 18345.798828125), (1, 16942.76953125)]","[(0, 4960.70947265625), (1, 4458.513671875)]","[(0, 10612.8740234375), (1, 10688.544921875)]","[(0, 17942.365234375), (1, 17560.8125)]","[(0, 10490.640625), (1, 8433.8818359375)]","[(0, 13587.1923828125), (1, 14006.12109375)]","[(0, 9716.1552734375), (1, 8472.6982421875)]","[(0, 6315.75732421875), (1, 6438.15087890625)]","[(0, 10431.2216796875), (1, 6479.51904296875)]","[(0, 6018.6005859375), (1, 5479.27685546875)]","[(0, 5624.47509765625), (1, 5274.1806640625)]"
23,"[(0, 22049.96484375), (1, 19823.544921875)]","[(0, 7020.11572265625), (1, 6897.9248046875)]","[(0, 5921.7998046875), (1, 6525.27099609375)]","[(0, 15530.48828125), (1, 16096.59765625)]","[(0, 8277.0126953125), (1, 7868.2021484375)]","[(0, 13521.6806640625), (1, 14394.7294921875)]","[(0, 7302.65478515625), (1, 6359.03759765625)]","[(0, 6340.3984375), (1, 7439.31201171875)]","[(0, 10067.865234375), (1, 4935.9716796875)]","[(0, 4862.19580078125), (1, 6695.53662109375)]","[(0, 12559.7373046875), (1, 18104.91796875)]"
24,"[(0, 13935.333984375), (1, 13159.6044921875)]","[(0, 6228.21484375), (1, 6107.150390625)]","[(0, 16682.052734375), (1, 17737.794921875)]","[(0, 7367.43017578125), (1, 7190.740234375)]","[(0, 8266.2763671875), (1, 6368.89990234375)]","[(0, 8941.7783203125), (1, 8693.1494140625)]","[(0, 6000.4501953125), (1, 5963.8408203125)]","[(0, 7935.67041015625), (1, 9522.16796875)]","[(0, 12364.83984375), (1, 7185.17431640625)]","[(0, 6977.74462890625), (1, 7407.98388671875)]","[(0, 11190.9609375), (1, 13961.4599609375)]"
25,"[(0, 11081.8359375), (1, 10817.1591796875)]","[(0, 7123.203125), (1, 6902.9267578125)]","[(0, 20263.2265625), (1, 21696.787109375)]","[(0, 13938.869140625), (1, 13610.4716796875)]","[(0, 10612.833984375), (1, 10092.21484375)]","[(0, 9217.205078125), (1, 9548.83203125)]","[(0, 6976.6669921875), (1, 6881.31494140625)]","[(0, 10890.97265625), (1, 5112.01318359375)]","[(0, 8060.654296875), (1, 6985.328125)]","[(0, 6453.60498046875), (1, 5885.72119140625)]","[(0, 13241.06640625), (1, 17258.509765625)]"
26,"[(0, 12701.716796875), (1, 12642.91015625)]","[(0, 6520.40625), (1, 6207.15283203125)]","[(0, 15771.1767578125), (1, 15995.1572265625)]","[(0, 19191.240234375), (1, 18567.46875)]","[(0, 11590.0419921875), (1, 10302.412109375)]","[(0, 7089.947265625), (1, 7956.251953125)]","[(0, 10783.724609375), (1, 11396.34765625)]","[(0, 9578.3642578125), (1, 7989.646484375)]","[(0, 5938.0302734375), (1, 9283.6513671875)]","[(0, 7646.55078125), (1, 18100.89453125)]","[(0, 13950.5859375), (1, 15835.2744140625)]"
27,"[(0, 25164.322265625), (1, 23359.693359375)]","[(0, 5300.13818359375), (1, 4816.54736328125)]","[(0, 10772.1923828125), (1, 10514.6396484375)]","[(0, 14285.732421875), (1, 14248.615234375)]","[(0, 13191.9228515625), (1, 12568.7607421875)]","[(0, 12142.47265625), (1, 12466.9892578125)]","[(0, 9453.330078125), (1, 9945.134765625)]","[(0, 5931.50439453125), (1, 7058.11083984375)]","[(0, 13362.4912109375), (1, 7826.5400390625)]","[(0, 8621.4853515625), (1, 8020.77197265625)]","[(0, 8325.9384765625), (1, 7658.8408203125)]"
28,"[(0, 9358.6767578125), (1, 9031.052734375)]","[(0, 11020.6767578125), (1, 10725.2333984375)]","[(0, 9318.5732421875), (1, 9801.1328125)]","[(0, 10235.4072265625), (1, 9920.1845703125)]","[(0, 13603.166015625), (1, 12883.1865234375)]","[(0, 11220.498046875), (1, 11386.0712890625)]","[(0, 11076.8388671875), (1, 11184.96484375)]","[(0, 8035.60205078125), (1, 5632.43017578125)]","[(0, 7223.615234375), (1, 4935.83056640625)]","[(0, 7564.66943359375), (1, 7383.58056640625)]","[(0, 11583.8427734375), (1, 15348.7041015625)]"
29,"[(0, 16243.8994140625), (1, 15910.0224609375)]","[(0, 7071.74853515625), (1, 5814.26611328125)]","[(0, 7778.53759765625), (1, 8094.24072265625)]","[(0, 16445.349609375), (1, 15915.076171875)]","[(0, 12557.8095703125), (1, 9810.0634765625)]","[(0, 7324.7099609375), (1, 7406.888671875)]","[(0, 10073.435546875), (1, 9899.052734375)]","[(0, 13591.7548828125), (1, 8569.220703125)]","[(0, 6503.15478515625), (1, 11308.4052734375)]","[(0, 7065.47900390625), (1, 6717.28271484375)]","[(0, 8954.2373046875), (1, 7878.556640625)]"
